1685697186: threshold_s= 100000.
1685697186: msg_store_timeout= 30.
1685697196949351 #storage: SUB4 0
1685697196949495 #storage: SUB3 0
1685697196949586 #storage: SUB2 0
1685697196949737 #storage: SUB5 0
1685697196949848 #storage: SUB11 0
1685697196949932 #storage: SUB12 0
#latency_threshold_l: SUB4 1685697196950032 766 300
SUB4 Mode Change...to slow_mode
1685697196950068 #storage: SUB4 0
#latency_threshold_l: SUB3 1685697196950098 660 300
SUB3 Mode Change...to slow_mode
1685697196950126 #storage: SUB3 0
#latency_threshold_l: SUB2 1685697196950152 622 300
SUB2 Mode Change...to slow_mode
1685697196950178 #storage: SUB2 0
#latency_threshold_l: SUB5 1685697196950204 550 300
SUB5 Mode Change...to slow_mode
1685697196950230 #storage: SUB5 0
#latency_threshold_l: SUB11 1685697196950256 466 700
SUB11 Mode Change...to normal_mode
1685697196950283 #storage: SUB11 0
#latency_threshold_l: SUB12 1685697196950353 473 300
SUB12 Mode Change...to slow_mode
1685697196950382 #storage: SUB12 0
1685697201955561 #storage: SUB4 0
1685697201955697 #storage: SUB3 0
1685697201955778 #storage: SUB2 0
1685697201955866 #storage: SUB5 0
1685697201956013 #storage: SUB11 0
1685697201956122 #storage: SUB12 0
#latency_threshold_l: SUB4 1685697201956221 744 300
SUB4 Mode Change...to slow_mode
1685697201956258 #storage: SUB4 0
#latency_threshold_l: SUB3 1685697201956287 647 300
SUB3 Mode Change...to slow_mode
1685697201956315 #storage: SUB3 0
#latency_threshold_l: SUB2 1685697201956341 612 300
SUB2 Mode Change...to slow_mode
1685697201956368 #storage: SUB2 0
#latency_threshold_l: SUB5 1685697201956394 583 300
SUB5 Mode Change...to slow_mode
1685697201956419 #storage: SUB5 0
#latency_threshold_l: SUB11 1685697201956445 513 700
SUB11 Mode Change...to normal_mode
1685697201956472 #storage: SUB11 0
#latency_threshold_l: SUB12 1685697201956510 448 300
SUB12 Mode Change...to slow_mode
1685697201956537 #storage: SUB12 0
1685697206962126 #storage: SUB4 0
1685697206962321 #storage: SUB3 0
1685697206962458 #storage: SUB2 0
1685697206962571 #storage: SUB5 0
1685697206962731 #storage: SUB11 0
1685697206962823 #storage: SUB12 0
#latency_threshold_l: SUB4 1685697206962924 885 300
SUB4 Mode Change...to slow_mode
1685697206962960 #storage: SUB4 0
#latency_threshold_l: SUB3 1685697206962988 740 300
SUB3 Mode Change...to slow_mode
1685697206963016 #storage: SUB3 0
#latency_threshold_l: SUB2 1685697206963043 668 300
SUB2 Mode Change...to slow_mode
