time,id,lat,threshold_l
1685691178001311,SUB2,195,300
1685691178001328,SUB3,135,300
1685691178001338,SUB4,102,300
1685691178001348,SUB5,95,300
1685691178001373,SUB11,106,700
1685691178001383,SUB12,100,300
1685691183007895,SUB2,676,300
1685691183007959,SUB3,587,300
1685691183008013,SUB4,528,300
1685691183008064,SUB5,465,300
1685691183008115,SUB11,436,700
1685691183008179,SUB12,427,300
1685691188013786,SUB2,738,300
1685691188013869,SUB3,666,300
1685691188013922,SUB4,638,300
1685691188013974,SUB5,618,300
1685691188014026,SUB11,561,700
1685691188014080,SUB12,499,300
1685691193020362,SUB2,854,300
1685691193020456,SUB3,778,300
1685691193020532,SUB4,742,300
1685691193020607,SUB5,666,300
1685691193020691,SUB11,631,700
1685691193020766,SUB12,598,300
1685691198025687,SUB2,732,300
1685691198025753,SUB3,645,300
1685691198025809,SUB4,583,300
1685691198025863,SUB5,504,300
1685691198025945,SUB11,495,700
1685691198026011,SUB12,480,300
1685691203032282,SUB2,729,300
1685691203032364,SUB3,626,300
1685691203032417,SUB4,596,300
1685691203032474,SUB5,572,300
1685691203032553,SUB11,573,700
1685691203032606,SUB12,546,300
1685691208038818,SUB2,685,300
1685691208038890,SUB3,599,300
1685691208038949,SUB4,571,300
1685691208039011,SUB5,550,300
1685691208039073,SUB11,527,700
1685691208039144,SUB12,488,300
1685691213044579,SUB2,677,300
1685691213044650,SUB3,596,300
1685691213044709,SUB4,572,300
1685691213044772,SUB5,544,300
1685691213044834,SUB11,497,700
1685691213044905,SUB12,488,300
1685691218050879,SUB2,847,300
1685691218050946,SUB3,648,300
1685691218051000,SUB4,572,300
1685691218051059,SUB5,540,300
1685691218052191,SUB11,1569,700
1685691218052282,SUB12,1580,300
1685691223056277,SUB2,858,300
1685691223056361,SUB3,755,300
1685691223056428,SUB4,741,300
1685691223056621,SUB5,828,300
1685691223057649,SUB11,1645,700
1685691223057767,SUB12,1648,300
1685691228062016,SUB2,695,300
1685691228062083,SUB3,613,300
1685691228062137,SUB4,586,300
1685691228062325,SUB5,677,300
1685691228063364,SUB11,1618,700
1685691228063471,SUB12,1642,300
1685691233069754,SUB2,944,300
1685691233069819,SUB3,857,300
1685691233069873,SUB4,792,300
1685691233070043,SUB5,808,300
1685691233070991,SUB11,1650,700
1685691233071101,SUB12,1547,300
1685691238076306,SUB2,609,300
1685691238076383,SUB3,589,300
1685691238076447,SUB4,597,300
1685691238076570,SUB5,656,300
1685691238076614,SUB11,647,700
1685691238079125,SUB12,120,300
1685691243083404,SUB2,673,300
1685691243083502,SUB3,618,300
1685691243083561,SUB4,596,300
1685691243083623,SUB5,574,300
1685691243084595,SUB11,1414,700
1685691243084686,SUB12,1426,300
1685691248088535,SUB2,758,300
1685691248088616,SUB3,601,300
1685691248088671,SUB4,561,300
1685691248088868,SUB5,660,300
1685691248089987,SUB11,1685,700
1685691248090075,SUB12,1697,300
1685691253095169,SUB2,911,300
1685691253095259,SUB3,842,300
1685691253095334,SUB4,806,300
1685691253095616,SUB5,906,300
1685691253096751,SUB11,1895,700
1685691253096899,SUB12,1925,300
1685691258101467,SUB2,784,300
1685691258101534,SUB3,652,300
1685691258101589,SUB4,564,300
1685691258101776,SUB5,644,300
1685691258102797,SUB11,1568,700
1685691258102918,SUB12,1606,300
1685691263108334,SUB2,710,300
1685691263108399,SUB3,617,300
1685691263108453,SUB4,585,300
1685691263108645,SUB5,679,300
1685691263109626,SUB11,1532,700
1685691263109714,SUB12,1533,300
1685691268114919,SUB2,760,300
1685691268114985,SUB3,631,300
1685691268115055,SUB4,591,300
1685691268115308,SUB5,742,300
1685691268115436,SUB11,789,700
1685691268115568,SUB12,836,300
1685691273120711,SUB2,721,300
1685691273120778,SUB3,627,300
1685691273120830,SUB4,595,300
1685691273120889,SUB5,547,300
1685691273121853,SUB11,1419,700
1685691273121961,SUB12,1438,300
1685691278127488,SUB2,752,300
1685691278127566,SUB3,672,300
1685691278127624,SUB4,641,300
1685691278127846,SUB5,754,300
1685691278128827,SUB11,1622,700
1685691283133505,SUB2,491,300
1685691283133548,SUB3,430,300
1685691283133584,SUB4,383,300
1685691283133714,SUB5,409,300
1685691288138377,SUB2,293,300
1685691288138404,SUB3,256,300
1685691288138426,SUB4,232,300
1685691288138714,SUB5,460,300
1685691293144571,SUB2,747,300
1685691293144636,SUB3,610,300
1685691293144690,SUB4,547,300
1685691293144742,SUB5,518,300
1685691298150484,SUB2,166,300
1685691298150502,SUB3,138,300
1685691298150516,SUB4,126,300
1685691303156865,SUB2,353,300
1685691303156900,SUB3,274,300
1685691303156929,SUB4,240,300
1685691308162872,SUB2,295,300
1685691308162902,SUB3,233,300
1685691308162926,SUB4,191,300
1685691313168762,SUB2,175,300
1685691313168781,SUB3,149,300
1685691313168797,SUB4,137,300
1685691318173798,SUB2,134,300
1685691318173812,SUB3,109,300
1685691318173823,SUB4,90,300
1685691323179944,SUB2,950,300
1685691323180042,SUB3,842,300
1685691323180119,SUB4,776,300
1685691328185811,SUB2,781,300
1685691328185912,SUB3,705,300
1685691328185994,SUB4,665,300
1685691333192188,SUB2,463,300
1685691333192263,SUB3,435,300
1685691333192345,SUB4,436,300
1685691338198312,SUB2,291,300
1685691338198343,SUB3,251,300
1685691338198368,SUB4,234,300
1685691343203889,SUB2,146,300
1685691343203920,SUB3,132,300
1685691343203935,SUB4,124,300
